ID,ACT MAJ,Active Programs,Term,Course Name,Section Name ,Current Status,MIDTERM GRADE,Final Grade,Verif Grade,Cmpl Cred,Faculty Last Name
2870842,BUBA,BUBA.BS,21/FA,MA-105,MA-105-04,N,NR,D-,D-,3,Pasner
2849671,BUBF,BUBF.BS,21/FA,MA-117,MA-117-07,N,F,A,A,3,Epstein
2870924,BULOD,BUBLOD.BS,21/FA,MA-105,MA-105-01,N,D,F,F,0,Battikha
2849600,HE,HE.HE.BS,21/SA,MA-151,MA-151-A01,N,,B,B,3,Pang
2849304,PY,PY.BA,21/SA,MA-105,MA-105-A01,N,,B-,B-,3,Zak
2846778,BY,BY.BS,21/SC,MA-115,MA-115-,TR,,T,T,4,
2865079,BY,BY.MC.BS,21/SE,MA-050,MA-050-EOF01,N,,A,A,0,Lampell
2866958,HE,HE.HE.BS,21/SE,MA-050,MA-050-EOF01,N,,B,B,0,Lampell
2862628,CO,CO.PR.BA,21/SE,MA-050,MA-050-EOF01,N,,B+,B+,0,Lampell
2871940,UN,UN.BX,21/SE,MA-050,MA-050-EOF01,N,,A-,A-,0,Lampell
2865528,CO,CO.MSP.BA,21/SE,MA-050,MA-050-EOF01,N,,C+,C+,0,Lampell
2866701,BUBK,BUBK.BS,21/SE,MA-050,MA-050-EOF01,N,,A-,A-,0,Lampell
2870951,BUSBM,BUBSBM.BS,21/SE,MA-050,MA-050-EOF01,N,,B,B,0,Lampell
2867270,BY,BY.MEBP.BS,21/SE,MA-050,MA-050-EOF01,N,,A,A,0,Lampell
2870917,BY,BY.MEBP.BS,21/SE,MA-050,MA-050-EOF01,N,,A,A,0,Lampell
2871750,PY,PY.BA,21/SE,MA-050,MA-050-EOF01,N,,A-,A-,0,Lampell
2870842,BUBA,BUBA.BS,21/SE,MA-050,MA-050-EOF01,N,,B,B,0,Lampell
2868945,EN,EN.CW.EDS.BA,21/SE,MA-050,MA-050-EOF01,N,,B,B,0,Lampell
2870924,BULOD,BUBLOD.BS,21/SE,MA-050,MA-050-EOF01,N,,C,C,0,Lampell
2835828,HE,HE.HE.BS,21/SP,MA-151,MA-151-03,N,C-,C,C,3,Pang
2851115,BULOD,BUBLOD.BS,21/SP,MA-105,MA-105-05,N,C+,B+,B+,3,Epstein
2847033,CO,CO.AC.BA,21/SP,MA-050,MA-050-01,N,NR,B,B,0,Rizzuto
2847146,SW,SW.BSW,21/SP,MA-105,MA-105-03,N,C+,C-,C-,3,Lampell
2851846,CO,CO.MSP.BA,21/SP,MA-105,MA-105-07,N,B+,B-,B-,3,Lampell
2772501,CO,CO.PR.BA,21/SP,MA-105,MA-105-07,N,C,B-,B-,3,Lampell
2854165,BUBR,BUBR.BS,21/SP,MA-050,MA-050-01,N,NR,A-,A-,0,Rizzuto
2847224,HEPR,HEPR.FW.BS,21/SP,MA-105,MA-105-01,N,C-,C-,C-,3,Poracky
2788128,CO,CO.MSP.BA,21/SP,MA-105,MA-105-09,N,F,B+,B+,3,Teehan
2849600,HE,HE.HE.BS,21/SP,MA-101,MA-101-01,N,NR,A-,A-,3,Palsu-Andriescu
2851666,PS,PS.INT.BA,21/SP,MA-101,MA-101-01,N,NR,C-,C-,3,Palsu-Andriescu
2832801,HE,HE.HE.BS,21/SP,MA-151,MA-151-06,N,C,D,D,3,Mascenik
2766160,CO,CO.PR.BA,21/SP,MA-105,MA-105-06,N,B+,B+,B+,3,Zak
2835094,BUBFR,BUBFR.BS,21/SP,MA-101,MA-101-01,A,NR,D+,D+,3,Palsu-Andriescu
2848071,BUBK,BUBK.BS,21/SP,MA-105,MA-105-03,N,C,C,C,3,Lampell
2832755,EN,EN.EDE.BA,21/SP,MA-204,MA-204-02,N,C-,C,C,3,Turner
2837457,CO,CO.MSP.BA,21/SP,MA-105,MA-105-50,N,D+,D+,D+,3,Kaub
2705807,EDIS,IS.EDE.BA,21/SP,MA-305,MA-305-01,N,A,A,A,3,Zak
2680622,HEPR,HEPR.FW.BS,21/SP,MA-151,MA-151-02,N,C,C+,C+,3,Pang
2835886,HS,HS.BA,21/SP,MA-050,MA-050-01,N,NR,C,C,0,Rizzuto
2855674,CO,CO.AC.BA,21/SP,MA-050,MA-050-01,N,NR,A-,A-,0,Rizzuto
2774836,UN,UN.BX,21/SP,MA-050,MA-050-01,N,NR,A-,A-,0,Rizzuto
2774838,PY,PY.BA,21/SP,MA-105,MA-105-50,N,A-,A-,A-,3,Kaub
2777461,BUBF,BUBF.BS,21/SP,MA-118,MA-118-03,N,B,B,B,3,Ralli
2852782,HE,HE.HE.BS,21/SP,MA-101,MA-101-01,N,NR,B+,B+,3,Palsu-Andriescu
2838903,AN,AN.BA,21/SP,MA-105,MA-105-02,N,A-,A,A,3,Epstein
2773146,BUBR,BUBR.BS,21/SP,MA-118,MA-118-03,N,C+,B,B,3,Ralli
2790015,BUOSD,BUBOSD.BS,21/SP,MA-117,MA-117-01,N,D,C+,C+,3,Gallagher
2849368,HE,HE.HE.BS,21/SP,MA-050,MA-050-01,N,NR,A,A,0,Rizzuto
2840396,BUBK,BUBK.BS,21/SP,MA-117,MA-117-03,N,NR,D-,D-,3,Rizzuto
2832314,BULOD,BUBLOD.BS,21/SP,MA-117,MA-117-03,N,NR,B-,B-,3,Rizzuto
2857816,CO,CO.PR.BA,21/SP,MA-105,MA-105-02,N,B,B-,B-,3,Epstein
2834534,MU,MU.MI.BA,21/SP,MA-100,MA-100-01,N,A,A,A,3,Mattaliano
2831152,CO,CO.MSP.BA,21/SP,MA-105,MA-105-09,N,F,A,A,3,Teehan
2830943,BUSBM,BUBSBM.BS,21/SP,MA-117,MA-117-05,N,NR,C-,P,3,Marchetta
2846778,BY,BY.BS,21/SP,MA-101,MA-101-01,N,NR,C,C,3,Palsu-Andriescu
2849304,PY,PY.BA,21/SP,MA-050,MA-050-01,N,NR,A,A,0,Rizzuto
2834560,HEPR,HEPR.PUHE.BS,21/SP,MA-151,MA-151-06,N,C+,C+,P,3,Mascenik
2818096,SW,SW.BSW,21/SP,MA-105,MA-105-03,N,D,D-,P,3,Lampell
2834159,MU,MU.MI.BA,21/SP,MA-100,MA-100-01,N,B+,A-,A-,3,Mattaliano
2855111,BULOD,BUBLOD.BS,21/SP,MA-050,MA-050-01,N,NR,C-,C-,0,Rizzuto
2837591,BUSBM,BUBSBM.BS,21/SP,MA-117,MA-117-05,N,NR,F,F,0,Marchetta
2818528,HLS,HLS.BS,21/SP,MA-109,MA-109-01,N,NR,C-,C-,4,Palsu-Andriescu
2849671,BUBF,BUBF.BS,21/SP,MA-105,MA-105-01,N,B+,C+,C+,3,Poracky
2834678,HEPR,HEPR.FW.BS,21/SP,MA-105,MA-105-07,N,D,C,C,3,Lampell
2865079,BY,BY.MC.BS,22/SP,MA-115,MA-115-50,N,,,,0,Ayotte
2873291,UN,UN.BX,22/SP,MA-105,MA-105-08,N,,,,0,Kaub
2871096,EN,EN.CW.BA,22/SP,MA-050,MA-050-01,N,,,,0,Poracky
2865727,HEPE,HEPE.ED.BS,22/SP,MA-105,MA-105-09,N,,,,0,Marchetta
