New iD,Active Majors,GPA UG Cum,Reporting Year,Term,Course Name,Current Status,Verif Grade,M89 Stu Recent Math Placement 
920183,,3.615,0,,MA-109,NC,,MATH.4
920183,,3.615,0,,MA-115,NC,,MATH.4
920183,,3.615,2013,13/FA,MA-125,N,A-,MATH.4
1063373,,3.226,0,,MA-050,NC,,MATH.3
1063373,,3.226,0,,MA-101,NC,,MATH.3
1063373,,3.226,2016,16/FA,MA-115,N,A-,MATH.3
1063373,,3.226,2016,17/SP,MA-125,N,C,MATH.3
985901,,3.356,0,,MA-050,NC,,MATH.4
985901,,3.356,0,,MA-101,NC,,MATH.4
985901,,3.356,0,,MA-109,NC,,MATH.4
985901,,3.356,0,,MA-115,NC,,MATH.4
985901,,3.356,2014,14/FA,MA-125,N,A-,MATH.4
1212331,,2.585,0,,MA-050,NC,,MATH.4
1212331,,2.585,0,,MA-101,NC,,MATH.4
1212331,,2.585,0,,MA-109,NC,,MATH.4
1212331,,2.585,0,,MA-115,NC,,MATH.4
1212331,,2.585,2018,18/FA,MA-125,D,W,MATH.4
809124,,3.4,0,,MA-050,NC,,MATH.3
809124,,3.4,0,,MA-101,NC,,MATH.3
809124,,3.4,2010,10/FA,MA-105,TR,T,MATH.3
809124,,3.4,2010,10/FA,MA-125,N,C+,MATH.3
755406,,3.482,0,,MA-050,NC,,MATH.3P
755406,,3.482,0,,MA-101,NC,,MATH.3P
755406,,3.482,2009,10/SP,MA-109,N,B,MATH.3P
755406,,3.482,2010,10/FA,MA-125,N,B,MATH.3P
938700,,3.876,0,,MA-050,NC,,MATH.4
938700,,3.876,0,,MA-101,NC,,MATH.4
938700,,3.876,0,,MA-109,NC,,MATH.4
938700,,3.876,0,,MA-115,NC,,MATH.4
938700,,3.876,2013,13/FA,MA-125,N,B+,MATH.4
998085,EDS,3.682,0,,MA-050,NC,,MATH.4
998085,EDS,3.682,0,,MA-101,NC,,MATH.4
998085,EDS,3.682,0,,MA-109,NC,,MATH.4
998085,EDS,3.682,0,,MA-115,NC,,MATH.4
998085,EDS,3.682,2015,15/FA,MA-125,N,A,MATH.4
1099700,,3.937,0,,MA-050,NC,,MATH.4
1099700,,3.937,0,,MA-101,NC,,MATH.4
1099700,,3.937,0,,MA-109,NC,,MATH.4
1099700,,3.937,0,,MA-115,NC,,MATH.4
1099700,,3.937,2016,16/FA,MA-125,N,A,MATH.4
800864,,3.482,0,,MA-050,NC,,MATH.3
800864,,3.482,0,,MA-101,NC,,MATH.3
800864,,3.482,2010,10/FA,MA-109,N,B,MATH.3
800864,,3.482,2010,11/SP,MA-125,N,A,MATH.3
834552,,2.863,0,,MA-050,NC,,MATH.4
834552,,2.863,0,,MA-101,NC,,MATH.4
834552,,2.863,0,,MA-109,NC,,MATH.4
834552,,2.863,0,,MA-115,NC,,MATH.4
834552,,2.863,2011,11/FA,MA-125,D,W,MATH.4
1164966,,3.755,0,,MA-050,NC,,MATH.4
1164966,,3.755,0,,MA-101,NC,,MATH.4
1164966,,3.755,0,,MA-109,PR,,MATH.4
1164966,,3.755,0,,MA-115,NC,,MATH.4
1164966,,3.755,2017,17/FA,MA-125,N,A-,MATH.4
1164966,,3.755,2017,17/FA,MA-109,TR,T,MATH.4
884581,,3.582,0,,MA-050,NC,,MATH.3
884581,,3.582,0,,MA-101,NC,,MATH.3
884581,,3.582,2013,13/FA,MA-109,N,B,MATH.3
884581,,3.582,2013,14/SP,MA-125,W,W,MATH.3
884581,,3.582,2014,14/FA,MA-105,N,A,MATH.3
1120345,,3.314,0,,MA-050,NC,,MATH.4
1120345,,3.314,0,,MA-101,NC,,MATH.4
1120345,,3.314,0,,MA-109,NC,,MATH.4
1120345,,3.314,0,,MA-115,NC,,MATH.4
1120345,,3.314,2017,18/SP,MA-125,N,B-,MATH.4
810250,,3.857,0,,MA-050,NC,,MATH.4
810250,,3.857,0,,MA-101,NC,,MATH.4
810250,,3.857,0,,MA-109,NC,,MATH.4
810250,,3.857,0,,MA-115,NC,,MATH.4
810250,,3.857,2010,10/FA,MA-125,N,B+,MATH.4
764795,,3.225,0,,MA-050,NC,,MATH.4
764795,,3.225,0,,MA-101,NC,,MATH.4
764795,,3.225,0,,MA-109,NC,,MATH.4
764795,,3.225,0,,MA-115,NC,,MATH.4
764795,,3.225,2010,10/FA,MA-125,N,C,MATH.4
771199,,3.392,0,,MA-050,NC,,MATH.4
771199,,3.392,0,,MA-101,NC,,MATH.4
771199,,3.392,0,,MA-109,NC,,MATH.4
771199,,3.392,0,,MA-115,NC,,MATH.4
771199,,3.392,2010,10/FA,MA-125,N,B-,MATH.4
1172504,,3.67,0,,MA-050,NC,,MATH.4
1172504,,3.67,0,,MA-101,NC,,MATH.4
1172504,,3.67,0,,MA-109,NC,,MATH.4
1172504,,3.67,0,,MA-115,NC,,MATH.4
1172504,,3.67,2017,18/SP,MA-125,N,A,MATH.4
1058828,,3.448,0,,MA-050,NC,,MATH.4
1058828,,3.448,0,,MA-101,NC,,MATH.4
1058828,,3.448,0,,MA-109,NC,,MATH.4
1058828,,3.448,0,,MA-115,NC,,MATH.4
1058828,,3.448,2015,15/FA,MA-125,N,B-,MATH.4
1235663,SE,3.158,0,,MA-050,NC,,MATH.4
,HON,,,,,,,
1235663,SE,3.158,0,,MA-101,NC,,MATH.4
,HON,,,,,,,
1235663,SE,3.158,0,,MA-109,NC,,MATH.4
,HON,,,,,,,
1235663,SE,3.158,0,,MA-115,NC,,MATH.4
,HON,,,,,,,
1235663,SE,3.158,2018,19/SP,MA-125,N,C-,MATH.4
,HON,,,,,,,
1308356,CE,2.829,0,,MA-050,NC,,MATH.2
1308356,CE,2.829,2020,20/FA,MA-101,N,B-,MATH.2
1308356,CE,2.829,2020,21/SP,MA-109,N,B+,MATH.2
1308356,CE,2.829,2021,21/FA,MA-125,N,B,MATH.2
1316867,,3.381,2020,20/FA,MA-101,TR,T,
1316867,,3.381,2020,20/FA,MA-109,TR,T,
1316867,,3.381,2020,21/SP,MA-125,N,C+,
1053963,,3.344,0,,MA-050,NC,,MATH.4
1053963,,3.344,0,,MA-101,NC,,MATH.4
1053963,,3.344,0,,MA-109,NC,,MATH.4
1053963,,3.344,0,,MA-115,NC,,MATH.4
1053963,,3.344,2015,15/FA,MA-125,N,A,MATH.4
1067677,,3.411,0,,MA-050,NC,,MATH.4
1067677,,3.411,0,,MA-101,NC,,MATH.4
1067677,,3.411,0,,MA-109,NC,,MATH.4
1067677,,3.411,0,,MA-115,NC,,MATH.4
1067677,,3.411,2016,16/FA,MA-125,N,C+,MATH.4
811229,,2.854,0,,MA-050,NC,,MATH.4
811229,,2.854,0,,MA-101,NC,,MATH.4
811229,,2.854,0,,MA-109,NC,,MATH.4
811229,,2.854,0,,MA-115,NC,,MATH.4
811229,,2.854,2011,11/FA,MA-125,D,W,MATH.4
816055,,3.824,0,,MA-050,NC,,MATH.4
816055,,3.824,0,,MA-101,NC,,MATH.4
816055,,3.824,0,,MA-109,NC,,MATH.4
816055,,3.824,0,,MA-115,NC,,MATH.4
816055,,3.824,2010,10/FA,MA-125,N,B,MATH.4
715805,,3.96,2007,08/SP,MA-109,TR,T,
715805,,3.96,2007,08/SP,MA-115,TR,T,
715805,,3.96,2012,13/SP,MA-125,N,A,
1230285,CE,3.852,0,,MA-050,NC,,MATH.4
1230285,CE,3.852,0,,MA-101,NC,,MATH.4
1230285,CE,3.852,0,,MA-109,NC,,MATH.4
1230285,CE,3.852,0,,MA-115,NC,,MATH.4
1230285,CE,3.852,2021,21/FA,MA-125,N,A,MATH.4
851115,,3.392,2012,13/SP,MA-125,N,A,
1268582,,2.938,0,,MA-050,NC,,MATH.3
1268582,,2.938,0,,MA-101,NC,,MATH.3
1268582,,2.938,2020,20/FA,MA-109,N,B-,MATH.3
1268582,,2.938,2020,21/SP,MA-125,D,W,MATH.3
921107,,3.307,0,,MA-050,NC,,MATH.4
921107,,3.307,0,,MA-101,NC,,MATH.4
921107,,3.307,0,,MA-109,NC,,MATH.4
921107,,3.307,0,,MA-115,NC,,MATH.4
921107,,3.307,2013,14/SP,MA-125,N,B,MATH.4
816650,,3.903,0,,MA-050,NC,,MATH.4
816650,,3.903,0,,MA-101,NC,,MATH.4
816650,,3.903,0,,MA-109,NC,,MATH.4
816650,,3.903,0,,MA-115,NC,,MATH.4
816650,,3.903,2010,11/SP,MA-125,N,A,MATH.4
1325806,SE,3.138,0,,MA-050,NC,,MATH.4
1325806,SE,3.138,0,,MA-101,NC,,MATH.4
1325806,SE,3.138,0,,MA-109,PR,,MATH.4
1325806,SE,3.138,0,,MA-115,NC,,MATH.4
1325806,SE,3.138,2021,21/FA,MA-125,D,W,MATH.4
1325806,SE,3.138,2021,21/FA,MA-109,A,B,MATH.4
1006266,,3.213,0,,MA-050,NC,,MATH.4
1006266,,3.213,0,,MA-101,NC,,MATH.4
1006266,,3.213,0,,MA-050,NC,,MATH.4
1006266,,3.213,0,,MA-101,NC,,MATH.4
1006266,,3.213,0,,MA-109,NC,,MATH.4
1006266,,3.213,0,,MA-115,NC,,MATH.4
1006266,,3.213,2014,14/FA,MA-125,N,C+,MATH.4
1175558,HEPR,2.313,0,,MA-050,NC,,MATH.4
1175558,HEPR,2.313,0,,MA-101,NC,,MATH.4
1175558,HEPR,2.313,0,,MA-109,NC,,MATH.4
1175558,HEPR,2.313,0,,MA-115,NC,,MATH.4
1175558,HEPR,2.313,2017,17/FA,MA-125,N,C+,MATH.4
776699,,3.249,0,,MA-050,NC,,MATH.3
776699,,3.249,0,,MA-101,NC,,MATH.3
776699,,3.249,2010,10/FA,MA-125,N,A-,MATH.3
1159901,,1.259,0,,MA-050,NC,,MATH.3
1159901,,1.259,0,,MA-101,NC,,MATH.3
1159901,,1.259,2017,17/FA,MA-125,N,D,MATH.3
1086370,,3.331,0,,MA-050,NC,,MATH.4
1086370,,3.331,0,,MA-101,NC,,MATH.4
1086370,,3.331,0,,MA-109,NC,,MATH.4
1086370,,3.331,0,,MA-115,NC,,MATH.4
1086370,,3.331,2016,16/FA,MA-125,N,B+,MATH.4
1007343,,3.464,0,,MA-050,NC,,MATH.3
1007343,,3.464,0,,MA-101,NC,,MATH.3
1007343,,3.464,2014,14/FA,MA-109,N,B,MATH.3
1007343,,3.464,2014,15/SP,MA-125,N,A-,MATH.3
1059388,,3.106,0,,MA-050,NC,,MATH.4
1059388,,3.106,0,,MA-101,NC,,MATH.4
1059388,,3.106,0,,MA-109,NC,,MATH.4
1059388,,3.106,0,,MA-115,NC,,MATH.4
1059388,,3.106,2015,15/FA,MA-125,N,B-,MATH.4
910189,,3.838,0,,MA-050,NC,,MATH.4
910189,,3.838,0,,MA-101,NC,,MATH.4
910189,,3.838,0,,MA-109,NC,,MATH.4
910189,,3.838,0,,MA-115,NC,,MATH.4
910189,,3.838,2013,13/FA,MA-125,D,W,MATH.4
1110211,,3.545,0,,MA-050,NC,,MATH.4
1110211,,3.545,0,,MA-101,NC,,MATH.4
1110211,,3.545,0,,MA-109,NC,,MATH.4
1110211,,3.545,0,,MA-115,NC,,MATH.4
1110211,,3.545,2016,16/FA,MA-125,N,B,MATH.4
1277736,BY,3.917,0,,MA-050,NC,,MATH.4
,HON,,,,,,,
1277736,BY,3.917,0,,MA-101,NC,,MATH.4
,HON,,,,,,,
1277736,BY,3.917,0,,MA-109,NC,,MATH.4
,HON,,,,,,,
1277736,BY,3.917,0,,MA-115,NC,,MATH.4
,HON,,,,,,,
1277736,BY,3.917,2019,19/FA,MA-125,N,A,MATH.4
,HON,,,,,,,
880645,,3.161,0,,MA-050,NC,,MATH.3
880645,,3.161,0,,MA-101,NC,,MATH.3
880645,,3.161,2013,13/FA,MA-109,N,C,MATH.3
880645,,3.161,2013,14/SP,MA-125,N,C-,MATH.3
987272,,3.523,0,,MA-050,NC,,MATH.3
987272,,3.523,0,,MA-101,NC,,MATH.3
987272,,3.523,2017,17/FA,MA-125,N,B,MATH.3
1022466,CS,2.812,0,,MA-050,NC,,MATH.3
1022466,CS,2.812,0,,MA-101,NC,,MATH.3
1022466,CS,2.812,2015,15/FA,MA-109,N,B-,MATH.3
1022466,CS,2.812,2016,16/FA,MA-125,N,C-,MATH.3
1215916,,3.7,2016,17/SB,MA-125,A,A-,
807489,,3.991,0,,MA-050,NC,,MATH.4
807489,,3.991,0,,MA-101,NC,,MATH.4
807489,,3.991,0,,MA-109,NC,,MATH.4
807489,,3.991,0,,MA-115,NC,,MATH.4
807489,,3.991,2011,11/FA,MA-125,N,A,MATH.4
1305639,BY,3.557,0,,MA-050,NC,,MATH.4
,HON,,,,,,,
1305639,BY,3.557,0,,MA-101,NC,,MATH.4
,HON,,,,,,,
1305639,BY,3.557,0,,MA-109,NC,,MATH.4
,HON,,,,,,,
1305639,BY,3.557,0,,MA-115,NC,,MATH.4
,HON,,,,,,,
1305639,BY,3.557,2020,20/FA,MA-125,N,B,MATH.4
,HON,,,,,,,
1011399,,2.81,0,,MA-050,NC,,MATH.4
1011399,,2.81,0,,MA-101,NC,,MATH.4
1011399,,2.81,0,,MA-109,NC,,MATH.4
1011399,,2.81,0,,MA-115,NC,,MATH.4
1011399,,2.81,2014,14/FA,MA-125,N,A,MATH.4
1230288,CS,3.708,0,,MA-050,NC,,MATH.4
1230288,CS,3.708,0,,MA-101,NC,,MATH.4
1230288,CS,3.708,0,,MA-109,NC,,MATH.4
1230288,CS,3.708,0,,MA-115,NC,,MATH.4
1230288,CS,3.708,2019,19/FA,MA-125,N,B,MATH.4
1030634,,3.402,0,,MA-050,NC,,MATH.4
1030634,,3.402,0,,MA-101,NC,,MATH.4
1030634,,3.402,0,,MA-109,NC,,MATH.4
1030634,,3.402,0,,MA-115,NC,,MATH.4
1030634,,3.402,2015,15/FA,MA-125,N,B+,MATH.4
1006225,,3.5,0,,MA-050,NC,,MATH.4
1006225,,3.5,0,,MA-101,NC,,MATH.4
1006225,,3.5,0,,MA-109,NC,,MATH.4
1006225,,3.5,0,,MA-115,NC,,MATH.4
1006225,,3.5,2014,14/FA,MA-125,N,C,MATH.4
1321861,BY,0,0,,MA-050,NC,,MATH.4
1321861,BY,0,0,,MA-101,NC,,MATH.4
1321861,BY,0,0,,MA-105,NC,,MATH.4
1321861,BY,0,0,,MA-109,NC,,MATH.4
1321861,BY,0,0,,MA-115,NC,,MATH.4
1321861,BY,0,2021,21/FA,MA-125,D,W,MATH.4
1268642,,1.357,0,,MA-050,NC,,MATH.2
1268642,,1.357,2019,19/FA,MA-101,N,C+,MATH.2
1268642,,1.357,2019,20/SP,MA-109,N,B,MATH.2
1268642,,1.357,2019,20/SB,MA-125,N,C-,MATH.2
1221764,,3.809,0,,MA-050,NC,,MATH.4
1221764,,3.809,0,,MA-101,NC,,MATH.4
1221764,,3.809,0,,MA-109,NC,,MATH.4
1221764,,3.809,0,,MA-115,NC,,MATH.4
1221764,,3.809,2018,18/FA,MA-125,N,B+,MATH.4
846535,,2.679,0,,MA-050,NC,,MATH.2
846535,,2.679,2012,12/FA,MA-101,N,B-,MATH.2
846535,,2.679,2012,13/SP,MA-109,N,C+,MATH.2
846535,,2.679,2012,13/SA,MA-125,TR,F,MATH.2
846535,,2.679,2013,13/FA,MA-125,N,C+,MATH.2
877930,,3.09,0,,MA-050,NC,,MATH.4
877930,,3.09,0,,MA-101,NC,,MATH.4
877930,,3.09,0,,MA-109,NC,,MATH.4
877930,,3.09,0,,MA-115,NC,,MATH.4
877930,,3.09,2013,13/FA,MA-125,N,C,MATH.4
1001811,,3.918,0,,MA-050,NC,,MATH.4
1001811,,3.918,0,,MA-101,NC,,MATH.4
1001811,,3.918,0,,MA-109,NC,,MATH.4
1001811,,3.918,0,,MA-115,NC,,MATH.4
1001811,,3.918,2014,14/FA,MA-125,D,W,MATH.4
1320326,CS,3.181,0,,MA-050,NC,,MATH.4
,HON,,,,,,,
1320326,CS,3.181,0,,MA-101,NC,,MATH.4
,HON,,,,,,,
1320326,CS,3.181,0,,MA-109,NC,,MATH.4
,HON,,,,,,,
1320326,CS,3.181,0,,MA-115,NC,,MATH.4
,HON,,,,,,,
1320326,CS,3.181,2021,22/SP,MA-125,N,,MATH.4
,HON,,,,,,,
1116987,,3.606,0,,MA-050,NC,,MATH.3
1116987,,3.606,0,,MA-050,NC,,MATH.3
1116987,,3.606,0,,MA-101,NC,,MATH.3
1116987,,3.606,2016,16/FA,MA-115,N,B,MATH.3
1116987,,3.606,2016,17/SP,MA-125,N,A-,MATH.3
1285853,CE,3.939,0,,MA-050,NC,,MATH.4
1285853,CE,3.939,0,,MA-101,NC,,MATH.4
1285853,CE,3.939,0,,MA-109,PR,,MATH.4
1285853,CE,3.939,0,,MA-115,NC,,MATH.4
1285853,CE,3.939,2019,20/SP,MA-109,TR,T,MATH.4
1285853,CE,3.939,2019,20/SP,MA-125,N,A,MATH.4
782137,,3.755,0,,MA-050,NC,,MATH.4
782137,,3.755,0,,MA-101,NC,,MATH.4
782137,,3.755,0,,MA-109,NC,,MATH.4
782137,,3.755,0,,MA-115,NC,,MATH.4
782137,,3.755,2010,10/FA,MA-125,N,B+,MATH.4
785518,,3.295,0,,MA-050,NC,,MATH.4
785518,,3.295,0,,MA-101,NC,,MATH.4
785518,,3.295,0,,MA-109,NC,,MATH.4
785518,,3.295,0,,MA-115,NC,,MATH.4
785518,,3.295,2010,10/FA,MA-125,N,B,MATH.4
1231126,CE,3.451,0,,MA-050,NC,,MATH.2
1231126,CE,3.451,2018,18/FA,MA-101,N,C,MATH.2
1231126,CE,3.451,2018,19/SP,MA-109,N,B-,MATH.2
1231126,CE,3.451,2018,19/SB,MA-125,N,B,MATH.2
834783,,3.2,2011,12/SP,MA-125,N,B-,
834783,,3.2,2011,12/SP,MA-109,TR,T,
806682,,3.079,0,,MA-050,NC,,MATH.4
806682,,3.079,0,,MA-101,NC,,MATH.4
806682,,3.079,0,,MA-109,NC,,MATH.4
806682,,3.079,0,,MA-115,NC,,MATH.4
806682,,3.079,2010,10/FA,MA-125,N,B+,MATH.4
1254410,,3.75,0,,MA-050,NC,,MATH.4
1254410,,3.75,0,,MA-101,NC,,MATH.4
1254410,,3.75,0,,MA-109,NC,,MATH.4
1254410,,3.75,0,,MA-115,NC,,MATH.4
1254410,,3.75,2018,18/FA,MA-125,D,W,MATH.4
1162877,MA,3.933,0,,MA-050,NC,,MATH.4
,EDS,,,,,,,
1162877,MA,3.933,0,,MA-101,NC,,MATH.4
,EDS,,,,,,,
1162877,MA,3.933,0,,MA-109,PR,,MATH.4
,EDS,,,,,,,
1162877,MA,3.933,0,,MA-115,NC,,MATH.4
,EDS,,,,,,,
1162877,MA,3.933,2018,18/FA,MA-109,TR,T,MATH.4
,EDS,,,,,,,
1162877,MA,3.933,2018,18/FA,MA-125,N,A,MATH.4
,EDS,,,,,,,
796904,,1.724,0,,MA-050,NC,,MATH.4
796904,,1.724,0,,MA-050,NC,,MATH.4
796904,,1.724,0,,MA-101,NC,,MATH.4
796904,,1.724,0,,MA-109,NC,,MATH.4
796904,,1.724,0,,MA-115,NC,,MATH.4
796904,,1.724,2010,10/FA,MA-125,N,C+,MATH.4
990764,,2.891,0,,MA-050,NC,,MATH.3
990764,,2.891,0,,MA-101,NC,,MATH.3
990764,,2.891,2015,15/FA,MA-109,N,B+,MATH.3
990764,,2.891,2015,16/SP,MA-125,N,C-,MATH.3
996131,,2.712,0,,MA-050,NC,,MATH.4
996131,,2.712,0,,MA-101,NC,,MATH.4
996131,,2.712,0,,MA-109,NC,,MATH.4
996131,,2.712,0,,MA-115,NC,,MATH.4
996131,,2.712,2015,15/FA,MA-125,N,D+,MATH.4
1268224,HS,3.565,0,,MA-050,NC,,MATH.4
,EDS,,,,,,,
1268224,HS,3.565,0,,MA-101,NC,,MATH.4
,EDS,,,,,,,
1268224,HS,3.565,0,,MA-109,NC,,MATH.4
,EDS,,,,,,,
1268224,HS,3.565,0,,MA-115,NC,,MATH.4
,EDS,,,,,,,
1268224,HS,3.565,2019,19/FA,MA-125,N,C+,MATH.4
,EDS,,,,,,,
1049532,,3.761,0,,MA-050,NC,,MATH.4
1049532,,3.761,0,,MA-101,NC,,MATH.4
1049532,,3.761,0,,MA-109,NC,,MATH.4
1049532,,3.761,0,,MA-115,NC,,MATH.4
1049532,,3.761,2015,15/FA,MA-125,N,B,MATH.4
946218,,3.195,0,,MA-050,NC,,MATH.3
946218,,3.195,0,,MA-101,NC,,MATH.3
1311862,SE,3.322,0,,MA-050,NC,,MATH.4
1311862,SE,3.322,0,,MA-101,NC,,MATH.4
1311862,SE,3.322,0,,MA-109,NC,,MATH.4
1311862,SE,3.322,0,,MA-115,NC,,MATH.4
946218,,3.195,2013,13/FA,MA-115,N,B,MATH.3
946218,,3.195,2014,15/SP,MA-125,N,B-,MATH.3
1311862,SE,3.322,2020,21/SP,MA-125,N,F,MATH.4
1311862,SE,3.322,2021,21/FA,MA-125,N,B,MATH.4
1058213,,3.346,0,,MA-050,NC,,MATH.4
1058213,,3.346,0,,MA-101,NC,,MATH.4
1058213,,3.346,0,,MA-109,NC,,MATH.4
1058213,,3.346,0,,MA-115,NC,,MATH.4
1058213,,3.346,2015,15/FA,MA-105,TR,T,MATH.4
1058213,,3.346,2016,17/SP,MA-125,N,B+,MATH.4
873444,,3.646,0,,MA-050,NC,,MATH.4
873444,,3.646,0,,MA-101,NC,,MATH.4
873444,,3.646,0,,MA-109,NC,,MATH.4
873444,,3.646,0,,MA-115,NC,,MATH.4
873444,,3.646,2012,12/FA,MA-125,N,A-,MATH.4
891052,,3.977,0,,MA-050,NC,,MATH.4
891052,,3.977,0,,MA-101,NC,,MATH.4
891052,,3.977,0,,MA-109,NC,,MATH.4
891052,,3.977,0,,MA-115,NC,,MATH.4
891052,,3.977,2012,12/FA,MA-125,N,A,MATH.4
930313,,3.767,0,,MA-050,NC,,MATH.4
930313,,3.767,0,,MA-101,NC,,MATH.4
930313,,3.767,0,,MA-109,NC,,MATH.4
930313,,3.767,0,,MA-115,NC,,MATH.4
930313,,3.767,2013,13/FA,MA-125,N,A-,MATH.4
786435,,3.571,0,,MA-050,NC,,MATH.4
786435,,3.571,0,,MA-101,NC,,MATH.4
786435,,3.571,0,,MA-109,NC,,MATH.4
786435,,3.571,0,,MA-115,NC,,MATH.4
786435,,3.571,2011,11/FA,MA-125,N,A,MATH.4
1288702,SE,3.191,0,,MA-050,NC,,MATH.4
1288702,SE,3.191,0,,MA-101,NC,,MATH.4
1288702,SE,3.191,0,,MA-109,NC,,MATH.4
1288702,SE,3.191,0,,MA-115,NC,,MATH.4
1288702,SE,3.191,2019,19/FA,MA-125,N,C+,MATH.4
684726,,3.157,0,,MA-050,NC,,MATH.4P
684726,,3.157,0,,MA-101,PR,,MATH.4P
684726,,3.157,0,,MA-109,NC,,MATH.4P
684726,,3.157,0,,MA-115,NC,,MATH.4P
684726,,3.157,2007,07/FA,MA-125,N,D-,MATH.4P
684726,,3.157,2010,10/FA,MA-101,TR,T,MATH.4P
684726,,3.157,2011,11/FA,MA-125,N,A,MATH.4P
1184959,,3.696,0,,MA-050,NC,,MATH.4
1184959,,3.696,0,,MA-101,NC,,MATH.4
1184959,,3.696,0,,MA-109,NC,,MATH.4
1184959,,3.696,0,,MA-115,NC,,MATH.4
1184959,,3.696,2017,17/FA,MA-125,N,B+,MATH.4
1283101,HON,2.559,0,,MA-050,NC,,MATH.4
,HE,,,,,,,
1283101,HON,2.559,0,,MA-101,NC,,MATH.4
,HE,,,,,,,
1283101,HON,2.559,0,,MA-109,NC,,MATH.4
,HE,,,,,,,
1283101,HON,2.559,0,,MA-115,NC,,MATH.4
,HE,,,,,,,
1283101,HON,2.559,2018,19/SP,MA-125,N,C,MATH.4
,HE,,,,,,,
808191,,3.342,0,,MA-050,NC,,MATH.2
808191,,3.342,2010,10/FA,MA-101,N,A,MATH.2
808191,,3.342,2010,11/SP,MA-109,N,B+,MATH.2
808191,,3.342,2011,11/FA,MA-125,D,W,MATH.2
1067749,,3.633,0,,MA-050,NC,,MATH.4
1067749,,3.633,0,,MA-101,NC,,MATH.4
1067749,,3.633,0,,MA-109,NC,,MATH.4
1067749,,3.633,0,,MA-115,NC,,MATH.4
1067749,,3.633,2016,16/FA,MA-125,N,A-,MATH.4
1194174,MLS,3.238,0,,MA-050,NC,,MATH.4
1194174,MLS,3.238,0,,MA-101,NC,,MATH.4
1194174,MLS,3.238,0,,MA-109,NC,,MATH.4
1194174,MLS,3.238,0,,MA-115,NC,,MATH.4
1194174,MLS,3.238,2018,18/FA,MA-125,N,C+,MATH.4
1324165,BY,2.347,0,,MA-050,NC,,MATH.4
,HON,,,,,,,
1324165,BY,2.347,0,,MA-101,NC,,MATH.4
,HON,,,,,,,
1324165,BY,2.347,0,,MA-109,NC,,MATH.4
,HON,,,,,,,
1324165,BY,2.347,0,,MA-115,NC,,MATH.4
,HON,,,,,,,
1324165,BY,2.347,2021,21/FA,MA-125,N,C+,MATH.4
,HON,,,,,,,
960872,,3.965,0,,MA-050,NC,,MATH.3
960872,,3.965,0,,MA-101,NC,,MATH.3
960872,,3.965,2016,16/FA,MA-125,N,A,MATH.3
961000,,3.983,0,,MA-050,NC,,MATH.4
961000,,3.983,0,,MA-101,NC,,MATH.4
961000,,3.983,0,,MA-109,NC,,MATH.4
961000,,3.983,0,,MA-115,NC,,MATH.4
961000,,3.983,2014,15/SP,MA-125,N,A,MATH.4
927862,,3.067,0,,MA-050,NC,,MATH.4
927862,,3.067,0,,MA-101,NC,,MATH.4
927862,,3.067,0,,MA-109,NC,,MATH.4
927862,,3.067,0,,MA-115,NC,,MATH.4
927862,,3.067,2013,13/FA,MA-125,N,A-,MATH.4
1307273,CS,4,0,,MA-050,NC,,MATH.4
1307273,CS,4,0,,MA-101,NC,,MATH.4
1307273,CS,4,0,,MA-109,NC,,MATH.4
1307273,CS,4,0,,MA-115,NC,,MATH.4
1307273,CS,4,2020,20/FA,MA-125,N,A,MATH.4
904779,,3.094,0,,MA-050,NC,,MATH.3
904779,,3.094,0,,MA-101,NC,,MATH.3
904779,,3.094,2013,13/FA,MA-109,N,B-,MATH.3
904779,,3.094,2013,14/SP,MA-125,N,C,MATH.3
1311864,HE,1.893,0,,MA-050,NC,,MATH.2
1311864,HE,1.893,2020,20/FA,MA-101,N,B,MATH.2
1311864,HE,1.893,2020,21/SP,MA-109,N,C,MATH.2
1311864,HE,1.893,2020,21/SB,MA-125,A,C-,MATH.2
988313,,3.266,0,,MA-050,NC,,MATH.3
988313,,3.266,0,,MA-101,NC,,MATH.3
988313,,3.266,2013,13/FA,MA-115,A,B,MATH.3
988313,,3.266,2015,16/SP,MA-125,N,B+,MATH.3
1324841,PY,3.638,0,,MA-050,NC,,MATH.4
1324841,PY,3.638,0,,MA-101,NC,,MATH.4
1324841,PY,3.638,0,,MA-109,NC,,MATH.4
1324841,PY,3.638,0,,MA-115,NC,,MATH.4
1324841,PY,3.638,2021,21/FA,MA-125,N,B,MATH.4
909862,NONE,2.798,0,,MA-050,NC,,MATH.3
909862,NONE,2.798,0,,MA-101,NC,,MATH.3
909862,NONE,2.798,2012,13/SA,MA-109,TR,T,MATH.3
909862,NONE,2.798,2013,13/FA,MA-125,N,C-,MATH.3
1319464,MA,3.914,0,,MA-050,NC,,MATH.4
,EDE,,,,,,,
1319464,MA,3.914,0,,MA-101,NC,,MATH.4
,EDE,,,,,,,
1319464,MA,3.914,0,,MA-109,NC,,MATH.4
,EDE,,,,,,,
1319464,MA,3.914,0,,MA-115,NC,,MATH.4
,EDE,,,,,,,
1319464,MA,3.914,2021,21/FA,MA-125,N,A,MATH.4
,EDE,,,,,,,
931192,,3.154,0,,MA-050,NC,,MATH.4
931192,,3.154,0,,MA-101,NC,,MATH.4
931192,,3.154,0,,MA-109,NC,,MATH.4
