New iD,Active Majors,GPA UG Cum,Reporting Year,Term,Course Name,Current Status,Verif Grade,M89 Stu Recent Math Placement 
880430,,2.338,0,,MA-109,NC,,MATH.4
880430,,2.338,0,,MA-115,NC,,MATH.4
880430,,2.338,2012,12/FA,MA-125,N,A,MATH.4
1285220,MA,2.388,0,,MA-050,NC,,MATH.3
1285220,MA,2.388,0,,MA-101,NC,,MATH.3
1285220,MA,2.388,2019,19/FA,MA-109,N,B-,MATH.3
1285220,MA,2.388,2019,20/SP,MA-125,N,F,MATH.3
1285220,MA,2.388,2020,20/FA,MA-125,N,P,MATH.3
1293198,BY,2.832,0,,MA-050,NC,,MATH.3
1293198,BY,2.832,0,,MA-101,NC,,MATH.3
1293198,BY,2.832,2019,19/FA,MA-115,N,B,MATH.3
1293198,BY,2.832,2020,20/FA,MA-125,D,W,MATH.3
1213542,,2.31,2017,17/FA,MA-101,TR,T,
1213542,,2.31,2017,17/FA,MA-115,N,D-,
1213542,,2.31,2017,18/SP,MA-115,N,B-,
1213542,,2.31,2018,18/FA,MA-125,N,B-,
876956,,3.31,0,,MA-050,NC,,MATH.3
876956,,3.31,0,,MA-101,NC,,MATH.3
876956,,3.31,2012,13/SP,MA-109,N,B+,MATH.3
876956,,3.31,2013,13/FA,MA-125,N,B,MATH.3
1322760,CE,4,0,,MA-050,NC,,MATH.4
,HON,,,,,,,
1322760,CE,4,0,,MA-101,NC,,MATH.4
,HON,,,,,,,
1322760,CE,4,0,,MA-109,NC,,MATH.4
,HON,,,,,,,
1322760,CE,4,0,,MA-115,NC,,MATH.4
,HON,,,,,,,
1322760,CE,4,2021,21/FA,MA-125,N,A,MATH.4
,HON,,,,,,,
847781,,2.285,0,,MA-050,NC,,MATH.3
847781,,2.285,0,,MA-050,NC,,MATH.3
847781,,2.285,0,,MA-101,NC,,MATH.3
847781,,2.285,2010,11/SP,MA-109,N,C-,MATH.3
847781,,2.285,2011,11/FA,MA-125,D,W,MATH.3
847781,,2.285,2012,12/FA,MA-125,D,W,MATH.3
847781,,2.285,2012,13/SP,MA-125,N,C-,MATH.3
1170759,,3.931,0,,MA-050,NC,,MATH.4
1170759,,3.931,0,,MA-101,NC,,MATH.4
1170759,,3.931,0,,MA-109,NC,,MATH.4
1170759,,3.931,0,,MA-115,NC,,MATH.4
1170759,,3.931,2017,18/SP,MA-125,N,A-,MATH.4
851782,,3.892,0,,MA-050,NC,,MATH.4
851782,,3.892,0,,MA-101,NC,,MATH.4
851782,,3.892,0,,MA-109,NC,,MATH.4
851782,,3.892,0,,MA-115,NC,,MATH.4
851782,,3.892,2012,13/SP,MA-125,N,A,MATH.4
914340,,3.088,2012,12/FA,MA-050,N,B+,MATH.1
914340,,3.088,2012,13/SP,MA-105,N,B+,MATH.1
914340,,3.088,2013,13/FA,MA-109,N,B,MATH.1
914340,,3.088,2013,14/SB,MA-125,N,A-,MATH.1
1152136,,3.201,0,,MA-050,NC,,MATH.3
1152136,,3.201,0,,MA-101,NC,,MATH.3
1152136,,3.201,2016,16/FA,MA-109,N,B-,MATH.3
1152136,,3.201,2016,17/SP,MA-125,N,C+,MATH.3
1134123,,3.061,0,,MA-050,NC,,MATH.4
1134123,,3.061,0,,MA-101,NC,,MATH.4
1134123,,3.061,0,,MA-109,NC,,MATH.4
1134123,,3.061,0,,MA-115,NC,,MATH.4
1134123,,3.061,2016,16/FA,MA-125,N,B,MATH.4
1292637,SE,2.744,0,,MA-050,NC,,MATH.4
1292637,SE,2.744,0,,MA-101,NC,,MATH.4
1292637,SE,2.744,0,,MA-109,NC,,MATH.4
1292637,SE,2.744,0,,MA-115,NC,,MATH.4
1292637,SE,2.744,2019,19/FA,MA-125,D,W,MATH.4
1292637,SE,2.744,2019,20/SP,MA-125,N,P,MATH.4
1003136,,3.522,0,,MA-050,NC,,MATH.4
1003136,,3.522,0,,MA-101,NC,,MATH.4
1003136,,3.522,0,,MA-109,NC,,MATH.4
1003136,,3.522,0,,MA-115,NC,,MATH.4
1003136,,3.522,2015,15/FA,MA-125,N,A-,MATH.4
1220713,MA,3.66,0,,MA-050,NC,,MATH.4
,EDS,,,,,,,
1220713,MA,3.66,0,,MA-101,NC,,MATH.4
,EDS,,,,,,,
1220713,MA,3.66,0,,MA-109,NC,,MATH.4
,EDS,,,,,,,
1220713,MA,3.66,0,,MA-115,NC,,MATH.4
,EDS,,,,,,,
1220713,MA,3.66,2019,19/FA,MA-125,N,B-,MATH.4
,EDS,,,,,,,
729335,,3.993,0,,MA-050,NC,,MATH.3
729335,,3.993,0,,MA-101,NC,,MATH.3
729335,,3.993,2009,10/SP,MA-125,D,W,MATH.3
729335,,3.993,2010,10/FA,MA-125,N,A,MATH.3
1236796,,2.283,0,,MA-050,NC,,MATH.3
1236796,,2.283,0,,MA-101,NC,,MATH.3
1236796,,2.283,2018,18/FA,MA-115,N,C-,MATH.3
1236796,,2.283,2018,19/SP,MA-125,D,W,MATH.3
1236796,,2.283,2019,19/SC,MA-125,TR,T,MATH.3
1284110,HON,3.983,0,,MA-050,NC,,MATH.4
,CE,,,,,,,
1284110,HON,3.983,0,,MA-101,NC,,MATH.4
,CE,,,,,,,
1284110,HON,3.983,0,,MA-109,NC,,MATH.4
,CE,,,,,,,
1284110,HON,3.983,0,,MA-115,NC,,MATH.4
,CE,,,,,,,
1284110,HON,3.983,2019,19/FA,MA-125,N,A,MATH.4
,CE,,,,,,,
789140,,2.842,2013,13/FA,MA-105,TR,T,
789140,,2.842,2013,13/FA,MA-101,TR,T,
789140,,2.842,2013,13/FA,MA-109,N,C+,
789140,,2.842,2013,14/SP,MA-125,N,D-,
1025061,,3.519,0,,MA-050,NC,,MATH.4
1025061,,3.519,0,,MA-101,PR,,MATH.4
1025061,,3.519,0,,MA-109,NC,,MATH.4
1025061,,3.519,0,,MA-115,NC,,MATH.4
1025061,,3.519,2014,14/FA,MA-101,TR,T,MATH.4
1025061,,3.519,2014,14/FA,MA-125,N,A,MATH.4
983055,,3.463,0,,MA-050,NC,,MATH.4
983055,,3.463,0,,MA-101,NC,,MATH.4
983055,,3.463,0,,MA-109,NC,,MATH.4
983055,,3.463,0,,MA-115,NC,,MATH.4
983055,,3.463,2013,14/SP,MA-109,N,A-,MATH.4
983055,,3.463,2014,14/FA,MA-125,D,W,MATH.4
1169191,HON,3.742,0,,MA-050,NC,,MATH.4
,MA,,,,,,,
1169191,HON,3.742,0,,MA-101,NC,,MATH.4
,MA,,,,,,,
1169191,HON,3.742,0,,MA-109,NC,,MATH.4
,MA,,,,,,,
1169191,HON,3.742,0,,MA-115,NC,,MATH.4
,MA,,,,,,,
